127.0.0.1 - - [20/Jun/2024:12:22:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:06 +0530] "GET /Spring_mvc/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:09 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:35 +0530] "POST /Spring_mvc/register HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:53 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2024:12:22:54 +0530] "GET /Spring_mvc/open-register HTTP/1.1" 200 1051
